Zone,Année,Valeur
Afghanistan,2015,34414
Afghanistan,2019,38042
Afrique du Sud,2015,55386
Afrique du Sud,2019,58558
Albanie,2015,2891
Albanie,2019,2881
Algérie,2015,39728
Algérie,2019,43053
Allemagne,2015,81787
Allemagne,2019,83517
Angola,2015,27884
Angola,2019,31825
Antigua-et-Barbuda,2015,94
Antigua-et-Barbuda,2019,97
Antilles néerlandaises (ex),2015,
Antilles néerlandaises (ex),2019,
Arabie saoudite,2015,31718
Arabie saoudite,2019,34269
Argentine,2015,43075
Argentine,2019,44781
Arménie,2015,2926
Arménie,2019,2958
Australie,2015,23933
Australie,2019,25203
Autriche,2015,8679
Autriche,2019,8955
Azerbaïdjan,2015,9623
Azerbaïdjan,2019,10048
Bahamas,2015,374
Bahamas,2019,389
Bangladesh,2015,156256
Bangladesh,2019,163046
Barbade,2015,285
Barbade,2019,287
Bélarus,2015,9439
Bélarus,2019,9452
Belgique,2015,11288
Belgique,2019,11539
Belgique-Luxembourg,2015,
Belgique-Luxembourg,2019,
Belize,2015,361
Belize,2019,390
Bénin,2015,10576
Bénin,2019,11801
Bolivie (État plurinational de),2015,10870
Bolivie (État plurinational de),2019,11513
Bosnie-Herzégovine,2015,3429
Bosnie-Herzégovine,2019,3301
Botswana,2015,2121
Botswana,2019,2304
Brésil,2015,204472
Brésil,2019,211050
Bulgarie,2015,7200
Bulgarie,2019,7000
Burkina Faso,2015,18111
Burkina Faso,2019,20321
Burundi,2015,10160.03
Burundi,2019,11530.58
Cabo Verde,2015,525
Cabo Verde,2019,550
Cambodge,2015,15521
Cambodge,2019,16487
Cameroun,2015,23298
Cameroun,2019,25876
Canada,2015,36027
Canada,2019,37411
Chili,2015,17969
Chili,2019,18952
Chine,2015,1438193
Chine,2019,1465634
Chine - RAS de Hong-Kong,2015,7186
Chine - RAS de Hong-Kong,2019,7436
Chine - RAS de Macao,2015,602
Chine - RAS de Macao,2019,640
"Chine, continentale",2015,1406848
"Chine, continentale",2019,1433784
"Chine, Taiwan Province de",2015,23557
"Chine, Taiwan Province de",2019,23774
Chypre,2015,1161
Chypre,2019,1199
Colombie,2015,47521
Colombie,2019,50339
Comores,2015,777
Comores,2019,851
Congo,2015,4856
Congo,2019,5381
